Gray Images
Image	Object	Pixels	Min	Max	Mean	Std	
MNI_MNI.img	GP_L	1459	160.5823	217.8881	190.4431	10.4124	
MNI_MNI.img	GP_R	1490	165.6673	224.3141	192.9927	10.3610	
MNI_MNI.img	Thalamus_L	6851	118.5325	205.6613	165.0119	15.5250	
MNI_MNI.img	Thalamus_R	6978	109.4575	205.8864	162.6002	17.4565	
MNI_MNI.img	BasalForebrain_L	4170	45.2301	225.5247	153.5520	28.4985	
MNI_MNI.img	BasalForebrain_R	4164	44.8881	217.7755	155.1341	28.1137	
MNI_MNI.img	midbrain_L	6387	137.5950	240.2272	194.7310	17.2346	
MNI_MNI.img	midbrain_R	6463	114.2911	239.4667	194.2169	18.9066	
MNI_MNI.img	Cerebellum_R	53703	34.6851	200.7781	119.4470	22.1953	
MNI_MNI.img	Cerebellum_L	53338	27.2264	206.1547	117.6806	22.9220	
MNI_MNI.img	Pons_L	8914	117.8534	234.8886	194.2317	13.0060	
MNI_MNI.img	Pons_R	9479	131.4963	230.9890	193.5552	12.7247	
MNI_MNI.img	Medulla_L	2842	0.0000e+00	228.1530	181.4304	26.4656	
MNI_MNI.img	Medulla_R	2723	0.0000e+00	229.5041	178.3971	28.2473	
MNI_MNI.img	ant_DPWM_L	31129	158.4748	227.1068	197.5611	5.9906	
MNI_MNI.img	ant_DPWM_R	30499	131.3946	223.4501	197.5124	5.5431	
MNI_MNI.img	post_DPWM_L	6997	184.4529	216.1877	198.5389	4.5232	
MNI_MNI.img	post_DPWM_R	5694	180.0190	220.4455	198.4549	4.7907	
MNI_MNI.img	GCC_L	3081	140.6253	219.7576	194.4876	9.8296	
MNI_MNI.img	GCC_R	3562	142.6389	221.1714	194.7681	9.6397	
MNI_MNI.img	BCC_L	4242	134.8748	219.8476	191.2518	13.1137	
MNI_MNI.img	BCC_R	4672	115.4539	224.1434	189.9268	15.8040	
MNI_MNI.img	SCC_L	6655	134.1825	232.0263	195.0570	11.0283	
MNI_MNI.img	SCC_R	6853	131.4003	236.3827	195.3442	12.1311	
MNI_MNI.img	PVA_posterior_L	947	81.9478	193.7005	150.2249	23.1593	
MNI_MNI.img	PVA_posterior_R	1034	84.2064	198.0899	147.4224	23.9708	
MNI_MNI.img	ALIC_L	2244	158.3072	226.8414	194.5368	10.7707	
MNI_MNI.img	ALIC_R	2398	164.7692	227.2301	197.6016	11.3826	
MNI_MNI.img	PLIC_L	3472	170.1957	232.3156	199.3998	9.4458	
MNI_MNI.img	PLIC_R	3543	166.0108	227.7857	200.4003	8.1013	
MNI_MNI.img	inf_DPWM_L	21062	111.1960	227.1641	192.1193	14.9393	
MNI_MNI.img	inf_DPWM_R	18838	137.4136	229.1790	193.7055	13.5412	
MNI_MNI.img	CGC_L	3954	143.8308	215.4048	186.5494	13.8110	
MNI_MNI.img	CGC_R	3955	139.9023	214.6335	185.5235	13.8255	
MNI_MNI.img	CGH_L	1506	135.0990	219.6610	184.7589	14.6706	
MNI_MNI.img	CGH_R	1556	137.6511	219.0747	185.7276	15.1633	
MNI_MNI.img	Fx/ST_L	1431	111.3189	229.6419	182.8576	18.4135	
MNI_MNI.img	Fx/ST_R	1486	87.0596	223.6880	181.1141	19.6369	
MNI_MNI.img	Fx_L	886	64.4337	233.1417	139.1006	30.3414	
MNI_MNI.img	Fx_R	1103	46.5534	202.8103	137.4291	26.6478	
MNI_MNI.img	PeripheralParietalWM_L	35098	137.6446	218.3205	188.7785	12.7909	
MNI_MNI.img	PeripheralParietalWM_R	36782	119.0089	224.7876	189.3690	13.5698	
MNI_MNI.img	AnteriorLateralVentricle_L	16344	9.0898	154.3664	50.8723	32.1811	
MNI_MNI.img	PosteriorLateralVentricle_L	2244	12.2168	172.8004	55.6086	36.3327	
MNI_MNI.img	InferiorLateralVentricle_L	1505	23.8797	173.4917	89.8570	28.7382	
MNI_MNI.img	AnteriorLateralVentricle_R	3737	10.1654	162.4987	51.4409	34.0355	
MNI_MNI.img	PosteriorLateralVentricle_R	2635	8.4701	173.5771	53.4983	38.4645	
MNI_MNI.img	InferiorLateralVentricle_R	1512	24.0191	164.1162	87.8400	27.7291	
MNI_MNI.img	IIIandIV_Ventricle	6646	12.3180	166.7560	74.2395	36.4397	
MNI_MNI.img	PVA_anterior_L	1218	77.3622	192.9909	157.0290	25.3422	
MNI_MNI.img	PVA_anterior_R	1038	83.6233	224.4420	157.7367	26.1154	
MNI_MNI.img	PeripheralFrontalWM_L	50526	135.6099	221.0684	185.1640	14.1260	
MNI_MNI.img	PeripheralFrontalWM_R	55122	109.9416	226.9450	187.1747	13.3073	
MNI_MNI.img	PeripheralTemporalWM_L	27669	123.8807	218.7077	180.8023	15.9450	
MNI_MNI.img	PeripheralTemporalWM_R	30370	129.4413	220.8157	182.0307	15.9412	
MNI_MNI.img	PeripheralOccipitalWM_L	25085	128.5562	214.7395	182.5373	15.3257	
MNI_MNI.img	PeripheralOccipitalWM_R	25321	127.6886	216.1625	181.9650	16.0695	
MNI_MNI.img	PeripheralCingulateWM_L	5822	129.6102	211.8400	175.8522	15.6130	
MNI_MNI.img	PeripheralCingulateWM_R	5100	125.3758	210.8224	174.8534	16.3198	
MNI_MNI.img	CerebellumWM_R	13220	140.3203	233.6139	190.6056	14.3634	
MNI_MNI.img	CerebellumWM_L	13039	134.8904	232.2592	189.8138	14.8178	
MNI_MNI.img	FrontSul_L	22292	12.8375	104.2812	57.5855	17.2906	
MNI_MNI.img	FrontSul_R	17972	14.2126	106.3459	59.8886	17.3036	
MNI_MNI.img	CentralSul_L	3401	14.0736	105.1436	54.8398	18.3776	
MNI_MNI.img	CentralSul_R	3380	15.0558	107.0103	50.5481	18.9602	
MNI_MNI.img	SylFrontSul_L	4584	13.7006	107.1800	59.1319	17.5338	
MNI_MNI.img	SylFrontSul_R	5140	12.0176	110.5136	60.9502	19.7063	
MNI_MNI.img	SylTempSul_L	5671	13.7634	112.0501	58.6797	17.7976	
MNI_MNI.img	SylTempSul_R	5223	12.0048	100.7810	58.7344	18.3454	
MNI_MNI.img	SylParieSul_L	496	24.9836	93.7161	64.4418	13.5570	
MNI_MNI.img	SylParieSul_R	563	18.0177	94.7942	55.1639	18.2123	
MNI_MNI.img	ParietSul_L	12238	14.1575	108.1565	56.5426	17.8128	
MNI_MNI.img	ParietSul_R	11613	14.1587	105.8832	53.2618	18.5887	
MNI_MNI.img	CinguSul_L	6578	14.8574	97.3724	57.6963	17.4547	
MNI_MNI.img	CinguSul_R	6414	12.1686	99.3531	59.4900	16.0341	
MNI_MNI.img	OcciptSul_L	4192	21.9664	102.4500	61.7441	14.4818	
MNI_MNI.img	OcciptSul_R	3673	20.1084	104.0149	60.0379	14.3944	
MNI_MNI.img	TempSul_L	3359	19.3084	95.6584	64.8877	12.6990	
MNI_MNI.img	TempSul_R	2616	21.3322	94.5138	62.4849	14.2781	
MNI_MNI.img	Caudate_tail_L	465	92.7292	179.1954	136.8982	17.6876	
MNI_MNI.img	Caudate_tail_R	552	84.4511	181.6313	137.2575	17.4318	



Type1-L5 Statistics

MNI_MNI.img	SFG_L	10471	43.3784	179.8318	114.3173	22.9843	
MNI_MNI.img	SFG_R	9129	37.4606	181.5877	116.5143	23.0860	
MNI_MNI.img	SFG_PFC_L	8490	45.0584	185.4665	112.9989	24.5274	
MNI_MNI.img	SFG_PFC_R	9987	44.4492	184.2245	116.1609	25.2090	
MNI_MNI.img	SFG_pole_L	1452	62.3740	172.7299	114.2743	23.3336	
MNI_MNI.img	SFG_pole_R	2963	59.7316	185.2628	119.6232	25.8461	
MNI_MNI.img	MFG_L	9000	46.8375	186.2625	114.7612	23.9985	
MNI_MNI.img	MFG_R	7263	50.6041	176.3923	113.9351	22.0949	
MNI_MNI.img	MFG_DPFC_L	8973	48.7181	180.5000	112.1713	25.1315	
MNI_MNI.img	MFG_DPFC_R	10688	41.6856	181.2859	112.0340	25.7025	
MNI_MNI.img	IFG_opercularis_L	3610	44.9098	184.9982	112.9377	24.4720	
MNI_MNI.img	IFG_opercularis_R	3223	50.8941	187.8102	119.1796	24.3687	
MNI_MNI.img	IFG_orbitalis_L	3292	51.6072	183.8971	115.7313	27.5321	
MNI_MNI.img	IFG_orbitalis_R	2608	44.7185	185.1623	116.1823	27.9808	
MNI_MNI.img	IFG_triangularis_L	2992	49.6334	186.0111	119.5042	24.7420	
MNI_MNI.img	IFG_triangularis_R	2592	46.3245	187.9630	121.4700	25.8594	
MNI_MNI.img	LFOG_L	3998	46.5530	173.9914	109.5418	22.8696	
MNI_MNI.img	LFOG_R	4420	30.8447	176.8532	109.0000	22.1878	
MNI_MNI.img	MFOG_L	4422	42.6620	191.0600	111.4045	24.8901	
MNI_MNI.img	MFOG_R	4462	28.0307	186.6458	107.6703	25.5784	
MNI_MNI.img	RG_L	5925	45.6342	187.2774	103.8087	26.5059	
MNI_MNI.img	RG_R	6091	51.4278	189.6629	109.1273	26.8524	
MNI_MNI.img	PoCG_L	10521	49.4956	178.9107	120.2311	23.6395	
MNI_MNI.img	PoCG_R	9348	43.1025	183.6272	120.6277	23.8841	
MNI_MNI.img	PrCG_L	12428	44.7160	175.1704	119.3809	22.2101	
MNI_MNI.img	PrCG_R	13482	45.9026	190.3067	121.7126	23.3211	
MNI_MNI.img	SPG_L	6292	52.2269	186.4435	124.0614	25.3493	
MNI_MNI.img	SPG_R	4512	52.5773	180.8755	123.8606	25.1385	
MNI_MNI.img	SMG_L	6826	50.8450	186.0563	115.4753	25.6087	
MNI_MNI.img	SMG_R	6017	51.6353	179.1313	115.8588	23.7637	
MNI_MNI.img	AG_L	6262	50.7495	181.7686	114.7406	24.4768	
MNI_MNI.img	AG_R	8830	39.0642	188.8868	114.3920	25.0550	
MNI_MNI.img	PrCu_L	7391	38.9075	190.1615	114.8031	25.1727	
MNI_MNI.img	PrCu_R	7796	39.2740	179.1309	112.3899	23.7465	
MNI_MNI.img	STG_L	10599	42.2385	183.5091	110.5643	22.2416	
MNI_MNI.img	STG_R	11055	40.6243	185.1454	111.0918	20.8967	
MNI_MNI.img	STG_L_pole	3441	52.1022	164.0976	101.2331	19.6255	
MNI_MNI.img	STG_R_pole	3241	57.0976	171.1296	103.4359	19.2813	
MNI_MNI.img	MTG_L	10936	36.1036	185.4004	105.2554	24.7673	
MNI_MNI.img	MTG_R	11178	29.0255	197.1919	104.6786	24.1050	
MNI_MNI.img	MTG_L_pole	587	57.2767	169.1899	108.9718	23.0980	
MNI_MNI.img	MTG_R_pole	564	68.1831	168.4788	110.1120	23.7539	
MNI_MNI.img	ITG_L	8540	27.7732	174.3838	100.8416	25.6203	
MNI_MNI.img	ITG_R	10511	37.7271	180.9829	105.6211	24.8812	
MNI_MNI.img	PHG_L	1248	71.1090	175.4683	118.5459	21.2059	
MNI_MNI.img	PHG_R	1320	61.3077	189.7441	124.4203	22.7414	
MNI_MNI.img	ENT_L	511	75.0010	176.6515	120.6871	18.6758	
MNI_MNI.img	ENT_R	573	84.7355	177.3445	121.6428	20.8466	
MNI_MNI.img	FuG_L	15902	25.4088	189.9059	103.1820	25.6075	
MNI_MNI.img	FuG_R	16142	30.7806	185.7758	104.7717	22.8897	
MNI_MNI.img	SOG_L	2560	51.8689	187.8834	122.1611	25.3076	
MNI_MNI.img	SOG_R	2459	42.8035	179.3884	116.7479	24.3260	
MNI_MNI.img	MOG_L	12328	36.2069	176.6024	109.2352	26.3672	
MNI_MNI.img	MOG_R	12127	29.1058	187.2417	109.1488	25.0466	
MNI_MNI.img	IOG_L	3809	38.5785	175.5323	106.8972	26.9321	
MNI_MNI.img	IOG_R	5695	39.6221	169.6363	106.0368	24.7110	
MNI_MNI.img	Cu_L	5834	37.8845	176.1531	115.0750	24.9007	
MNI_MNI.img	Cu_R	5195	39.9043	186.0650	114.0296	24.3250	
MNI_MNI.img	LG_L	10245	25.4440	178.0023	108.8754	26.1343	
MNI_MNI.img	LG_R	10684	25.0758	178.8736	108.4138	24.6395	
MNI_MNI.img	rostral_ACC_L	2879	43.7435	166.8993	96.6968	21.6616	
MNI_MNI.img	rostral_ACC_R	3510	48.4583	172.8860	94.9245	22.6212	
MNI_MNI.img	subcallosal_ACC_L	460	60.4864	166.8773	98.6645	23.7214	
MNI_MNI.img	subcallosal_ACC_R	633	61.4892	158.4089	98.6753	22.4758	
MNI_MNI.img	subgenual_ACC_L	1855	66.1349	186.5610	113.8083	21.7044	
MNI_MNI.img	subgenual_ACC_R	1822	59.9446	188.5345	111.2267	22.2046	
MNI_MNI.img	dorsal_ACC_L	12428	32.2330	177.9717	104.5125	23.0175	
MNI_MNI.img	dorsal_ACC_R	12311	26.1059	164.1715	101.4083	22.9698	
MNI_MNI.img	PCC_L	8488	28.9531	186.3690	106.3923	25.4442	
MNI_MNI.img	PCC_R	9886	15.8757	208.3486	103.6046	23.5163	
MNI_MNI.img	Insula_L	9337	34.6463	167.9236	105.8853	21.1935	
MNI_MNI.img	Insula_R	8975	42.1549	169.9369	111.7374	22.4902	
MNI_MNI.img	Amyg_L	1861	78.1990	162.7276	112.2878	14.3994	
MNI_MNI.img	Amyg_R	1994	83.9087	161.6512	116.0023	15.2494	
MNI_MNI.img	Hippo_L	4641	46.7983	176.7071	105.6489	19.0571	
MNI_MNI.img	Hippo_R	4510	52.0928	163.5934	108.3193	18.4849	
MNI_MNI.img	Caud_L	4081	80.7870	187.7460	131.2301	19.6590	
MNI_MNI.img	Caud_R	4166	91.2746	187.4189	131.0611	19.1434	
MNI_MNI.img	Put_L	5608	89.7885	185.3388	149.5724	15.5119	
MNI_MNI.img	Put_R	5767	83.1329	193.3755	153.1442	15.5468	
MNI_MNI.img	GP_L	1459	160.5823	217.8881	190.4431	10.4124	
MNI_MNI.img	GP_R	1490	165.6673	224.3141	192.9927	10.3610	
MNI_MNI.img	Thalamus_L	6851	118.5325	205.6613	165.0119	15.5250	
MNI_MNI.img	Thalamus_R	6978	109.4575	205.8864	162.6002	17.4565	
MNI_MNI.img	HypoThalamus_L	638	94.3771	195.4235	142.9003	19.4905	
MNI_MNI.img	HypoThalamus_R	734	108.7364	208.1314	152.1154	20.3410	
MNI_MNI.img	BasalForebrain_L	316	109.8048	213.8863	171.6907	17.5682	
MNI_MNI.img	BasalForebrain_R	279	108.3525	211.4205	174.4375	17.5193	
MNI_MNI.img	NucAccumbens_L	789	95.9404	180.2459	133.2805	14.4932	
MNI_MNI.img	NucAccumbens_R	831	98.0736	178.2912	137.6575	15.9250	
MNI_MNI.img	RedNc_L	412	194.6828	221.3844	207.7602	5.3336	
MNI_MNI.img	RedNc_R	435	194.0049	223.9978	207.9781	6.0458	
MNI_MNI.img	Snigra_L	342	191.6113	227.7296	209.5075	6.3228	
MNI_MNI.img	Snigra_R	340	194.3260	230.6188	212.6490	6.0537	
MNI_MNI.img	CerebellumGM_R	53703	34.6851	200.7781	119.4470	22.1953	
MNI_MNI.img	CerebellumGM_L	53338	27.2264	206.1547	117.6806	22.9220	
MNI_MNI.img	CP_L	2774	146.3898	240.2272	200.5202	15.7077	
MNI_MNI.img	CP_R	2777	154.5463	239.4667	201.9366	14.3044	
MNI_MNI.img	Midbrain_L	2859	137.5950	237.7955	185.4688	15.6971	
MNI_MNI.img	Midbrain_R	2911	114.2911	229.2710	182.6434	18.1636	
MNI_MNI.img	CST_L	1498	175.6637	221.9301	199.6183	7.2718	
MNI_MNI.img	CST_R	1482	181.1264	223.0294	199.1991	6.0209	
MNI_MNI.img	SCP_L	1024	117.8534	222.6904	181.1764	18.1410	
MNI_MNI.img	SCP_R	1107	135.8080	224.4819	186.9726	16.5956	
MNI_MNI.img	MCP_L	3312	142.2053	223.2081	192.4318	12.3426	
MNI_MNI.img	MCP_R	3418	131.4963	224.9520	191.8686	12.7312	
MNI_MNI.img	PCT_L	1062	177.2479	226.7942	203.4097	7.6498	
MNI_MNI.img	PCT_R	916	184.5693	226.2758	203.1292	7.6324	
MNI_MNI.img	ICP_L	891	159.4508	228.1530	191.9063	12.6617	
MNI_MNI.img	ICP_R	765	145.3225	218.4673	188.5623	12.3853	
MNI_MNI.img	ML_L	897	173.5334	225.5056	194.9176	7.6174	
MNI_MNI.img	ML_R	1055	177.8473	216.8220	196.6861	7.2823	
