Gray Images
Image	Object	Volume_mm3	Min	Max	Mean	Std	
MNI.img	PosteriorWM_L	72999	120.0000	419.0000	335.5888	35.4329	
MNI.img	PosteriorWM_R	72275	123.0000	454.0000	354.7682	36.9836	
MNI.img	CorpusCallosum_L	14328	223.0000	467.0000	387.6956	26.2780	
MNI.img	CorpusCallosum_R	15588	189.0000	486.0000	393.3136	29.5554	
MNI.img	InferiorWM_L	58433	125.0000	453.0000	341.8708	39.8106	
MNI.img	InferiorWM_R	59078	129.0000	476.0000	360.6083	44.1154	
MNI.img	LimbicWM_L	14278	99.0000	467.0000	344.0368	44.4420	
MNI.img	LimbicWM_R	14048	68.0000	460.0000	347.0913	48.0044	
MNI.img	LateralVentricle_L	13451	14.0000	369.0000	109.7696	68.3504	
MNI.img	LateralVentricle_R	15496	10.0000	398.0000	102.5809	74.9312	
MNI.img	IIIandIV_Ventricle	6957	17.0000	368.0000	127.5982	70.4647	
MNI.img	FrontSul_L	23218	15.0000	196.0000	101.0726	35.4586	
MNI.img	FrontSul_R	18878	16.0000	216.0000	104.4094	36.3896	
MNI.img	CentralSul_L	3674	0.0000e+00	223.0000	93.1930	41.3404	
MNI.img	CentralSul_R	3584	0.0000e+00	232.0000	88.3039	43.6694	
MNI.img	SylvianFissureExt_L	11299	13.0000	244.0000	103.1059	37.4115	
MNI.img	SylvianFissureExt_R	11478	14.0000	234.0000	108.0350	42.9670	
MNI.img	ParietSul_L	13352	0.0000e+00	238.0000	96.4759	39.6630	
MNI.img	ParietSul_R	12286	12.0000	217.0000	94.8026	39.7135	
MNI.img	CinguSul_L	6788	17.0000	201.0000	108.2898	37.4607	
MNI.img	CinguSul_R	6588	15.0000	222.0000	109.0131	33.7699	
MNI.img	OcciptSul_L	4631	21.0000	229.0000	107.8616	34.2005	
MNI.img	OcciptSul_R	3952	25.0000	217.0000	109.4223	34.0725	
MNI.img	TempSul_L	3586	0.0000e+00	183.0000	111.6447	26.9749	
MNI.img	TempSul_R	2751	25.0000	210.0000	112.9357	34.2695	



Type1-L4 Statistics

MNI.img	SFG_L	21074	66.0000	350.0000	202.8322	45.0554	
MNI.img	SFG_R	23164	48.0000	342.0000	205.5576	47.8699	
MNI.img	MFG_L	18710	67.0000	341.0000	203.3759	48.0910	
MNI.img	MFG_R	19100	61.0000	360.0000	202.5933	49.6428	
MNI.img	IFG_L	10374	60.0000	352.0000	202.9030	50.7394	
MNI.img	IFG_R	8692	61.0000	362.0000	210.0978	49.6621	
MNI.img	OG_L	8831	64.0000	403.0000	207.9975	49.2081	
MNI.img	OG_R	9837	0.0000e+00	389.0000	193.8325	50.5760	
MNI.img	RG_L	6155	68.0000	369.0000	195.3883	54.8872	
MNI.img	RG_R	6322	80.0000	349.0000	193.7941	51.6225	
MNI.img	PoCG_L	11055	59.0000	358.0000	212.1221	47.0056	
MNI.img	PoCG_R	9859	63.0000	394.0000	220.9729	48.5593	
MNI.img	PrCG_L	13500	65.0000	357.0000	206.7855	44.3985	
MNI.img	PrCG_R	14377	67.0000	372.0000	218.4280	46.6453	
MNI.img	SPG_L	6969	78.0000	357.0000	222.2689	52.9281	
MNI.img	SPG_R	4768	86.0000	365.0000	229.9746	50.7674	
MNI.img	SMG_L	7077	78.0000	346.0000	199.4151	48.0372	
MNI.img	SMG_R	6393	77.0000	361.0000	213.6219	48.6265	
MNI.img	AG_L	6931	53.0000	346.0000	196.9973	49.3007	
MNI.img	AG_R	9350	50.0000	374.0000	210.6509	51.6358	
MNI.img	PrCu_L	8085	54.0000	360.0000	198.4878	49.7660	
MNI.img	PrCu_R	8213	46.0000	373.0000	202.6822	47.3385	
MNI.img	STG_L	14983	47.0000	353.0000	190.8297	44.4119	
MNI.img	STG_R	14975	64.0000	373.0000	201.9527	46.2783	
MNI.img	MTG_L	12284	45.0000	336.0000	184.0327	48.1105	
MNI.img	MTG_R	12427	34.0000	375.0000	190.5105	48.1074	
MNI.img	ITG_L	9257	37.0000	324.0000	173.8683	48.8251	
MNI.img	ITG_R	11015	34.0000	360.0000	194.8650	50.3069	
MNI.img	Limbic_L	1872	85.0000	334.0000	204.9525	38.6494	
MNI.img	Limbic_R	2030	66.0000	381.0000	214.8108	47.1021	
MNI.img	FuG_L	17227	26.0000	355.0000	180.1091	49.4133	
MNI.img	FuG_R	17578	0.0000e+00	380.0000	196.5622	48.4090	
MNI.img	SOG_L	2694	81.0000	339.0000	212.7097	49.9591	
MNI.img	SOG_R	2591	55.0000	335.0000	211.4226	47.9256	
MNI.img	MOG_L	13279	41.0000	341.0000	187.0685	51.0934	
MNI.img	MOG_R	13078	46.0000	365.0000	203.0528	51.9976	
MNI.img	IOG_L	4206	53.0000	345.0000	184.3583	52.1094	
MNI.img	IOG_R	5986	65.0000	341.0000	203.1540	52.0784	
MNI.img	Cu_L	6145	52.0000	358.0000	201.2594	50.2076	
MNI.img	Cu_R	5652	53.0000	368.0000	207.5878	51.1228	
MNI.img	LG_L	10636	30.0000	354.0000	197.4809	51.9228	
MNI.img	LG_R	11004	34.0000	377.0000	206.0542	51.2082	
MNI.img	Cingulate_L	26905	34.0000	405.0000	200.1603	49.7449	
MNI.img	Cingulate_R	29027	0.0000e+00	410.0000	195.3888	48.0833	
MNI.img	Insula_L	9778	43.0000	351.0000	194.4526	43.5130	
MNI.img	Insula_R	9657	55.0000	359.0000	201.0385	45.9905	
MNI.img	Amyg_L	2001	116.0000	334.0000	196.1409	27.2998	
MNI.img	Amyg_R	2130	130.0000	369.0000	203.7432	33.9113	
MNI.img	Hippo_L	4836	56.0000	376.0000	196.6933	43.8331	
MNI.img	Hippo_R	5056	72.0000	399.0000	212.3248	48.4976	
MNI.img	Caud_L	4267	146.0000	385.0000	257.2079	36.9655	
MNI.img	Caud_R	4337	139.0000	420.0000	251.2993	35.0949	
MNI.img	Put_L	6004	147.0000	372.0000	277.0498	30.6690	
MNI.img	Put_R	6498	104.0000	406.0000	286.4455	34.8613	
MNI.img	GP_L	1641	253.0000	406.0000	352.4765	21.1987	
MNI.img	GP_R	1657	244.0000	426.0000	360.5275	22.8583	
MNI.img	Thalamus_L	7164	190.0000	398.0000	309.1367	29.4848	
MNI.img	Thalamus_R	7385	156.0000	405.0000	305.9342	34.1757	
MNI.img	BasalForebrain_L	4423	59.0000	446.0000	284.4321	59.0663	
MNI.img	BasalForebrain_R	4324	63.0000	421.0000	281.7007	58.0717	
MNI.img	midbrain_L	6582	216.0000	467.0000	347.3108	36.4387	
MNI.img	midbrain_R	6881	172.0000	465.0000	347.3601	40.7590	
MNI.img	Cerebellum_R	56316	40.0000	382.0000	220.2073	44.0387	
MNI.img	Cerebellum_L	55304	36.0000	362.0000	206.3867	42.7741	
MNI.img	Pons_L	9171	173.0000	390.0000	317.4001	23.5853	
MNI.img	Pons_R	9885	143.0000	391.0000	319.3620	25.7412	
MNI.img	Medulla_L	2932	0.0000e+00	382.0000	288.3322	44.1500	
MNI.img	Medulla_R	2797	0.0000e+00	389.0000	293.9088	43.7474	
MNI.img	ant_DPWM_L	32419	300.0000	443.0000	373.5483	15.2801	
MNI.img	ant_DPWM_R	32924	215.0000	446.0000	380.8615	15.0971	
MNI.img	post_DPWM_L	7334	327.0000	419.0000	371.2048	11.7357	
MNI.img	post_DPWM_R	6013	331.0000	435.0000	389.4959	12.9591	
MNI.img	GCC_L	3176	268.0000	463.0000	398.8086	22.7113	
MNI.img	GCC_R	3681	248.0000	474.0000	402.1462	25.3540	
MNI.img	BCC_L	4325	245.0000	450.0000	380.7313	28.4287	
MNI.img	BCC_R	4802	189.0000	464.0000	381.0816	35.3347	
MNI.img	SCC_L	6827	223.0000	467.0000	386.9377	24.6685	
MNI.img	SCC_R	7105	243.0000	486.0000	397.0048	24.1747	
MNI.img	PVA_posterior_L	947	120.0000	409.0000	268.1595	56.0493	
MNI.img	PVA_posterior_R	1034	123.0000	426.0000	265.5397	60.1188	
MNI.img	ALIC_L	2497	276.0000	453.0000	376.9319	25.0682	
MNI.img	ALIC_R	2524	289.0000	464.0000	380.3380	28.5777	
MNI.img	PLIC_L	3635	301.0000	444.0000	366.9766	20.7761	
MNI.img	PLIC_R	3897	298.0000	438.0000	374.3156	17.9050	
MNI.img	inf_DPWM_L	22113	189.0000	447.0000	358.4379	33.7393	
MNI.img	inf_DPWM_R	20086	218.0000	476.0000	380.7873	41.8249	
MNI.img	CGC_L	4285	221.0000	427.0000	363.7748	31.7733	
MNI.img	CGC_R	4320	237.0000	434.0000	363.6229	33.1073	
MNI.img	CGH_L	1537	203.0000	418.0000	345.8569	33.3266	
MNI.img	CGH_R	1634	216.0000	435.0000	357.7858	38.6203	
MNI.img	Fx/ST_L	1498	182.0000	448.0000	346.4005	41.5344	
MNI.img	Fx/ST_R	1614	68.0000	460.0000	352.5960	49.6111	
MNI.img	Fx_L	907	99.0000	467.0000	274.4432	64.7664	
MNI.img	Fx_R	1158	82.0000	420.0000	275.2927	61.0240	
MNI.img	PeripheralParietalWM_L	37511	195.0000	419.0000	337.9229	31.3719	
MNI.img	PeripheralParietalWM_R	38870	199.0000	448.0000	355.7744	33.6055	
MNI.img	AnteriorLateralVentricle_L	17157	14.0000	394.0000	100.6146	70.2239	
MNI.img	PosteriorLateralVentricle_L	2249	15.0000	368.0000	97.7772	70.4122	
MNI.img	InferiorLateralVentricle_L	1567	27.0000	369.0000	155.2259	56.4981	
MNI.img	AnteriorLateralVentricle_R	3737	10.0000	318.0000	92.5496	65.4080	
MNI.img	PosteriorLateralVentricle_R	2635	15.0000	398.0000	102.8190	80.3316	
MNI.img	InferiorLateralVentricle_R	1602	37.0000	382.0000	162.2566	62.4416	
MNI.img	IIIandIV_Ventricle	6957	17.0000	368.0000	127.5982	70.4647	
MNI.img	PVA_anterior_L	1254	123.0000	423.0000	309.0845	56.0006	
MNI.img	PVA_anterior_R	1065	114.0000	439.0000	298.6432	69.5164	
MNI.img	PeripheralFrontalWM_L	52625	190.0000	427.0000	335.2794	30.0119	
MNI.img	PeripheralFrontalWM_R	58173	177.0000	439.0000	341.7958	30.9819	
MNI.img	PeripheralTemporalWM_L	29845	166.0000	411.0000	324.4359	36.8992	
MNI.img	PeripheralTemporalWM_R	32287	178.0000	444.0000	345.7859	41.3459	
MNI.img	PeripheralOccipitalWM_L	27550	179.0000	412.0000	324.4249	36.3301	
MNI.img	PeripheralOccipitalWM_R	26642	192.0000	454.0000	347.8632	37.4802	
MNI.img	PeripheralCingulateWM_L	6051	195.0000	425.0000	339.4434	39.7795	
MNI.img	PeripheralCingulateWM_R	5322	204.0000	432.0000	344.3418	42.2260	
MNI.img	CerebellumWM_R	13383	213.0000	437.0000	339.4152	26.2491	
MNI.img	CerebellumWM_L	13241	210.0000	391.0000	323.5409	24.1348	
MNI.img	FrontSul_L	23218	15.0000	196.0000	101.0726	35.4586	
MNI.img	FrontSul_R	18878	16.0000	216.0000	104.4094	36.3896	
MNI.img	CentralSul_L	3674	0.0000e+00	223.0000	93.1930	41.3404	
MNI.img	CentralSul_R	3584	0.0000e+00	232.0000	88.3039	43.6694	
MNI.img	SylFrontSul_L	4805	13.0000	198.0000	100.9834	36.4038	
MNI.img	SylFrontSul_R	5344	14.0000	225.0000	107.2683	41.9273	
MNI.img	SylTempSul_L	5986	20.0000	244.0000	104.2618	38.6162	
MNI.img	SylTempSul_R	5533	15.0000	234.0000	109.8059	43.8413	
MNI.img	SylParieSul_L	508	26.0000	176.0000	109.5610	30.3959	
MNI.img	SylParieSul_R	601	17.0000	211.0000	98.5491	42.5223	
MNI.img	ParietSul_L	13352	0.0000e+00	238.0000	96.4759	39.6630	
MNI.img	ParietSul_R	12286	12.0000	217.0000	94.8026	39.7135	
MNI.img	CinguSul_L	6788	17.0000	201.0000	108.2898	37.4607	
MNI.img	CinguSul_R	6588	15.0000	222.0000	109.0131	33.7699	
MNI.img	OcciptSul_L	4631	21.0000	229.0000	107.8616	34.2005	
MNI.img	OcciptSul_R	3952	25.0000	217.0000	109.4223	34.0725	
MNI.img	TempSul_L	3586	0.0000e+00	183.0000	111.6447	26.9749	
MNI.img	TempSul_R	2751	25.0000	210.0000	112.9357	34.2695	
MNI.img	Caudate_tail_L	489	146.0000	381.0000	242.1677	42.8046	
MNI.img	Caudate_tail_R	618	128.0000	431.0000	272.4207	49.2386	



Type1-L5 Statistics

MNI.img	SFG_L	10865	66.0000	350.0000	204.0818	43.8511	
MNI.img	SFG_R	9377	48.0000	340.0000	209.7685	45.2967	
MNI.img	SFG_PFC_L	8723	72.0000	334.0000	201.2536	46.5051	
MNI.img	SFG_PFC_R	10435	70.0000	336.0000	202.0519	48.5460	
MNI.img	SFG_pole_L	1486	94.0000	324.0000	202.9623	44.8070	
MNI.img	SFG_pole_R	3352	82.0000	342.0000	204.6915	51.6780	
MNI.img	MFG_L	9551	67.0000	341.0000	201.2232	46.9823	
MNI.img	MFG_R	7801	70.0000	360.0000	203.1217	45.2418	
MNI.img	MFG_DPFC_L	9159	70.0000	340.0000	205.6208	49.1202	
MNI.img	MFG_DPFC_R	11299	61.0000	349.0000	202.2285	52.4632	
MNI.img	IFG_opercularis_L	3952	62.0000	352.0000	196.5590	50.4040	
MNI.img	IFG_opercularis_R	3341	67.0000	351.0000	213.7040	47.1876	
MNI.img	IFG_orbitalis_L	3292	83.0000	348.0000	205.7673	51.0480	
MNI.img	IFG_orbitalis_R	2608	61.0000	337.0000	200.1108	51.2148	
MNI.img	IFG_triangularis_L	3130	60.0000	346.0000	207.9006	49.9987	
MNI.img	IFG_triangularis_R	2743	66.0000	362.0000	215.2009	49.7250	
MNI.img	LFOG_L	4076	81.0000	343.0000	206.0022	46.0584	
MNI.img	LFOG_R	4543	54.0000	348.0000	196.0969	45.0881	
MNI.img	MFOG_L	4755	64.0000	403.0000	209.7079	51.6945	
MNI.img	MFOG_R	5294	0.0000e+00	389.0000	191.8893	54.7748	
MNI.img	RG_L	6155	68.0000	369.0000	195.3883	54.8872	
MNI.img	RG_R	6322	80.0000	349.0000	193.7941	51.6225	
MNI.img	PoCG_L	11055	59.0000	358.0000	212.1221	47.0056	
MNI.img	PoCG_R	9859	63.0000	394.0000	220.9729	48.5593	
MNI.img	PrCG_L	13500	65.0000	357.0000	206.7855	44.3985	
MNI.img	PrCG_R	14377	67.0000	372.0000	218.4280	46.6453	
MNI.img	SPG_L	6969	78.0000	357.0000	222.2689	52.9281	
MNI.img	SPG_R	4768	86.0000	365.0000	229.9746	50.7674	
MNI.img	SMG_L	7077	78.0000	346.0000	199.4151	48.0372	
MNI.img	SMG_R	6393	77.0000	361.0000	213.6219	48.6265	
MNI.img	AG_L	6931	53.0000	346.0000	196.9973	49.3007	
MNI.img	AG_R	9350	50.0000	374.0000	210.6509	51.6358	
MNI.img	PrCu_L	8085	54.0000	360.0000	198.4878	49.7660	
MNI.img	PrCu_R	8213	46.0000	373.0000	202.6822	47.3385	
MNI.img	STG_L	11349	47.0000	353.0000	198.0730	44.3819	
MNI.img	STG_R	11626	64.0000	373.0000	210.5700	45.5466	
MNI.img	STG_L_pole	3634	84.0000	318.0000	168.2089	36.1271	
MNI.img	STG_R_pole	3349	86.0000	298.0000	172.0379	34.9608	
MNI.img	MTG_L	11666	45.0000	336.0000	184.4739	48.3554	
MNI.img	MTG_R	11816	34.0000	375.0000	191.0979	48.1813	
MNI.img	MTG_L_pole	618	82.0000	293.0000	175.7055	42.3741	
MNI.img	MTG_R_pole	611	101.0000	304.0000	179.1506	45.1772	
MNI.img	ITG_L	9257	37.0000	324.0000	173.8683	48.8251	
MNI.img	ITG_R	11015	34.0000	360.0000	194.8650	50.3069	
MNI.img	PHG_L	1294	85.0000	334.0000	204.5039	40.1284	
MNI.img	PHG_R	1433	66.0000	381.0000	219.1675	48.1566	
MNI.img	ENT_L	578	113.0000	327.0000	205.9567	35.0925	
MNI.img	ENT_R	597	121.0000	337.0000	204.3534	42.6918	
MNI.img	FuG_L	17227	26.0000	355.0000	180.1091	49.4133	
MNI.img	FuG_R	17578	0.0000e+00	380.0000	196.5622	48.4090	
MNI.img	SOG_L	2694	81.0000	339.0000	212.7097	49.9591	
MNI.img	SOG_R	2591	55.0000	335.0000	211.4226	47.9256	
MNI.img	MOG_L	13279	41.0000	341.0000	187.0685	51.0934	
MNI.img	MOG_R	13078	46.0000	365.0000	203.0528	51.9976	
MNI.img	IOG_L	4206	53.0000	345.0000	184.3583	52.1094	
MNI.img	IOG_R	5986	65.0000	341.0000	203.1540	52.0784	
MNI.img	Cu_L	6145	52.0000	358.0000	201.2594	50.2076	
MNI.img	Cu_R	5652	53.0000	368.0000	207.5878	51.1228	
MNI.img	LG_L	10636	30.0000	354.0000	197.4809	51.9228	
MNI.img	LG_R	11004	34.0000	377.0000	206.0542	51.2082	
MNI.img	rostral_ACC_L	2982	73.0000	362.0000	186.4145	46.7800	
MNI.img	rostral_ACC_R	3608	82.0000	338.0000	179.9742	46.3939	
MNI.img	subcallosal_ACC_L	460	109.0000	358.0000	202.3435	52.8071	
MNI.img	subcallosal_ACC_R	633	93.0000	331.0000	191.5024	44.8162	
MNI.img	subgenual_ACC_L	1855	119.0000	405.0000	225.1957	48.9424	
MNI.img	subgenual_ACC_R	1822	89.0000	410.0000	216.3935	53.0533	
MNI.img	dorsal_ACC_L	12887	36.0000	373.0000	196.9048	46.2663	
MNI.img	dorsal_ACC_R	12858	50.0000	361.0000	190.2248	45.2670	
MNI.img	PCC_L	8721	34.0000	383.0000	204.2308	53.2523	
MNI.img	PCC_R	10106	0.0000e+00	394.0000	203.9187	48.5784	
MNI.img	Insula_L	9778	43.0000	351.0000	194.4526	43.5130	
MNI.img	Insula_R	9657	55.0000	359.0000	201.0385	45.9905	
MNI.img	Amyg_L	2001	116.0000	334.0000	196.1409	27.2998	
MNI.img	Amyg_R	2130	130.0000	369.0000	203.7432	33.9113	
MNI.img	Hippo_L	4789	56.0000	376.0000	195.7146	42.6967	
MNI.img	Hippo_R	5026	72.0000	399.0000	211.8912	48.2053	
MNI.img	Caud_L	4267	146.0000	385.0000	257.2079	36.9655	
MNI.img	Caud_R	4337	139.0000	420.0000	251.2993	35.0949	
MNI.img	Put_L	6004	147.0000	372.0000	277.0498	30.6690	
MNI.img	Put_R	6498	104.0000	406.0000	286.4455	34.8613	
MNI.img	GP_L	1641	253.0000	406.0000	352.4765	21.1987	
MNI.img	GP_R	1657	244.0000	426.0000	360.5275	22.8583	
MNI.img	Thalamus_L	7164	190.0000	398.0000	309.1367	29.4848	
MNI.img	Thalamus_R	7385	156.0000	405.0000	305.9342	34.1757	
MNI.img	HypoThalamus_L	691	129.0000	386.0000	269.2373	42.8026	
MNI.img	HypoThalamus_R	764	161.0000	375.0000	276.0497	42.3324	
MNI.img	BasalForebrain_L	316	211.0000	405.0000	329.2437	35.7158	
MNI.img	BasalForebrain_R	279	200.0000	405.0000	331.6416	34.9934	
MNI.img	NucAccumbens_L	789	173.0000	342.0000	250.6755	28.7022	
MNI.img	NucAccumbens_R	831	182.0000	365.0000	252.4043	32.4375	
MNI.img	RedNc_L	412	329.0000	401.0000	368.1966	11.8366	
MNI.img	RedNc_R	435	321.0000	405.0000	369.1678	14.7421	
MNI.img	Snigra_L	369	338.0000	413.0000	382.7805	14.6581	
MNI.img	Snigra_R	375	345.0000	433.0000	389.3893	14.6327	
MNI.img	CerebellumGM_R	56316	40.0000	382.0000	220.2073	44.0387	
MNI.img	CerebellumGM_L	55304	36.0000	362.0000	206.3867	42.7741	
MNI.img	CP_L	2839	230.0000	467.0000	361.7640	32.3295	
MNI.img	CP_R	2992	200.0000	465.0000	365.7657	32.0726	
MNI.img	Midbrain_L	2962	216.0000	444.0000	326.1340	32.1929	
MNI.img	Midbrain_R	3079	172.0000	415.0000	321.2748	36.9372	
MNI.img	CST_L	1546	268.0000	378.0000	326.9088	15.0708	
MNI.img	CST_R	1517	284.0000	383.0000	327.0336	14.6368	
MNI.img	SCP_L	1024	174.0000	383.0000	296.7686	32.1290	
MNI.img	SCP_R	1107	194.0000	383.0000	312.2710	31.5233	
MNI.img	MCP_L	3495	173.0000	384.0000	317.7565	24.0310	
MNI.img	MCP_R	3719	143.0000	390.0000	321.5077	27.3665	
MNI.img	PCT_L	1062	275.0000	377.0000	329.0518	15.2837	
MNI.img	PCT_R	916	286.0000	382.0000	331.0862	15.9800	
MNI.img	ICP_L	951	242.0000	382.0000	307.4732	23.9521	
MNI.img	ICP_R	819	252.0000	389.0000	314.4090	23.9031	
MNI.img	ML_L	923	279.0000	379.0000	312.7324	14.2250	
MNI.img	ML_R	1084	267.0000	359.0000	318.2362	14.8114	
MNI.img	Pons_L	389	240.0000	363.0000	311.5244	20.8813	
MNI.img	Pons_R	843	173.0000	391.0000	291.0344	24.5451	
MNI.img	Medulla_L	1981	0.0000e+00	372.0000	279.1434	48.4689	
MNI.img	Medulla_R	1978	0.0000e+00	379.0000	285.4206	47.1554	
MNI.img	ACR_L	12767	300.0000	434.0000	377.5709	15.8711	
MNI.img	ACR_R	15374	319.0000	443.0000	383.2793	15.5824	
MNI.img	SCR_L	19200	314.0000	419.0000	370.5829	13.4639	
MNI.img	SCR_R	17240	215.0000	435.0000	378.8867	13.6234	
MNI.img	PCR_L	7334	327.0000	419.0000	371.2048	11.7357	
MNI.img	PCR_R	6013	331.0000	435.0000	389.4959	12.9591	
MNI.img	GCC_L	3176	268.0000	463.0000	398.8086	22.7113	
MNI.img	GCC_R	3681	248.0000	474.0000	402.1462	25.3540	
MNI.img	BCC_L	4325	245.0000	450.0000	380.7313	28.4287	
MNI.img	BCC_R	4802	189.0000	464.0000	381.0816	35.3347	
MNI.img	SCC_L	6827	223.0000	467.0000	386.9377	24.6685	
MNI.img	SCC_R	7105	243.0000	486.0000	397.0048	24.1747	
MNI.img	PVWl_L	343	125.0000	378.0000	269.5306	63.1176	
MNI.img	PVWl_R	284	129.0000	370.0000	255.1268	64.6507	
MNI.img	ALIC_L	2497	276.0000	453.0000	376.9319	25.0682	
MNI.img	ALIC_R	2524	289.0000	464.0000	380.3380	28.5777	
MNI.img	PLIC_L	3635	301.0000	444.0000	366.9766	20.7761	
MNI.img	PLIC_R	3897	298.0000	438.0000	374.3156	17.9050	
MNI.img	RLIC_L	3272	312.0000	447.0000	379.9945	19.8900	
MNI.img	RLIC_R	3401	318.0000	476.0000	400.9221	22.2612	
MNI.img	EC_L	3635	204.0000	397.0000	320.4740	29.7401	
MNI.img	EC_R	3864	218.0000	432.0000	340.5277	34.8627	
MNI.img	CGC_L	4285	221.0000	427.0000	363.7748	31.7733	
MNI.img	CGC_R	4320	237.0000	434.0000	363.6229	33.1073	
MNI.img	CGH_L	1537	203.0000	418.0000	345.8569	33.3266	
MNI.img	CGH_R	1634	216.0000	435.0000	357.7858	38.6203	
MNI.img	Fx/ST_L	1498	182.0000	448.0000	346.4005	41.5344	
MNI.img	Fx/ST_R	1614	68.0000	460.0000	352.5960	49.6111	
MNI.img	Fx_L	907	99.0000	467.0000	274.4432	64.7664	
MNI.img	Fx_R	1158	82.0000	420.0000	275.2927	61.0240	
MNI.img	IFO_L	1907	189.0000	410.0000	315.8584	32.3451	
MNI.img	IFO_R	1939	227.0000	445.0000	317.7091	34.1196	
